name,rank,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
190000,3,G2,P1,V2,S0,A0,O0,L0,D2,K1,V1,R2,G2,Y2,G2,W0,K0,X0,O1,,,,,,,
190001,56,Q0,P1,P0,M1,N0,P1,T2,N1,I1,K0,P3,X1,F0,P1,S0,C0,Z0,L0,H2,,,,,,
190002,60,D0,U0,Y1,E2,R0,P0,V1,R2,X1,Y0,R1,I1,T1,V1,Y2,A1,I2,N1,A0,J2,A0,,,,
190003,67,C0,J1,I2,N1,W1,E1,M1,Z1,Q0,B1,O0,,,,,,,,,,,,,,
190004,19,I0,M1,C2,D0,W0,F1,B2,O1,T0,L0,W1,X2,W0,N0,,,,,,,,,,,
190005,27,H2,Z1,X2,R2,L0,A2,Z0,T1,I0,J0,N0,T1,Y1,B2,V0,S0,,,,,,,,,
190006,64,X2,H2,R0,E2,E0,O0,X2,K2,K2,J1,R2,A2,A1,R2,E2,M0,,,,,,,,,
190007,34,Y0,Y1,N1,,,,,,,,,,,,,,,,,,,,,,
190008,59,D1,R0,T1,J1,U2,Y0,V1,F1,V0,V1,W0,M0,Y0,M0,A2,V1,V1,P3,C0,K2,B2,V2,,,
190009,53,D0,B1,K0,S0,Y2,B2,U1,J0,S0,V1,F0,Y2,C2,B1,S0,K1,A2,M1,C2,G1,K1,,,,
190010,36,U0,P1,V1,D2,C0,L0,C1,P2,I1,V2,R2,K2,O0,N2,F1,S1,E1,R2,F1,I2,W0,B1,Y2,D1,
190011,24,F0,U2,P2,H1,E2,R2,N0,R0,N0,W1,A1,R1,T2,J1,G0,G2,W0,T0,,,,,,,
190012,79,D2,X0,G1,S0,H1,N1,A2,O0,K1,V2,H2,K1,A0,J2,W0,T0,,,,,,,,,
190013,90,H0,A2,K1,B2,I2,P0,U1,N1,Q0,G0,E2,W0,C1,D0,B0,D1,T1,C0,Y1,G2,I2,J1,,,
190014,88,P3,J1,N0,Z0,C2,I2,I0,R1,N2,I2,H1,Y0,O1,X0,B0,N2,P2,N0,C2,,,,,,
190015,7,D0,Q0,U1,D1,P3,F0,F0,R1,J0,G2,A0,B0,A2,U2,,,,,,,,,,,
190016,13,O0,X0,V1,D2,I2,,,,,,,,,,,,,,,,,,,,
190017,75,R1,L0,D1,K2,A2,C1,C0,B1,,,,,,,,,,,,,,,,,
190018,21,I2,T1,R1,V2,U0,N0,C0,D1,P3,F0,B2,C0,L0,S0,T1,A2,S0,A2,O0,W1,B0,,,,
190019,2,A1,R1,S1,N2,V1,A1,J1,U2,P1,I1,Y2,H0,H2,Z1,,,,,,,,,,,
190020,48,X2,Z1,M1,N2,D1,K0,D0,P3,X0,H1,S1,X2,F1,W1,K0,U0,R1,Q0,M1,B1,T0,F0,,,
190021,45,J0,B0,J1,B0,K0,Y1,Z0,R0,L0,N1,G1,O1,K2,R2,X2,X0,E0,L0,P0,H1,,,,,
190022,46,R1,E1,N1,W1,K1,F0,Q0,W0,T2,A2,,,,,,,,,,,,,,,
